guna_word,spanish_word,synonyms,english_word,english_synonyms
Sidsi,Jagua,,Jagua,#VALUE!
Sabed,Amor,"Cariño, Afecto, , , ",Love,"Love, affection,,,"
Sabga,Carta,"Mensaje, Hoja, cuaderno, , ",Letter,"Message, leaf notebook,"
Sabgaaled,Chocolate,"Marrón, , , , ",Chocolate,"Brown, , , ,"
Annugged,Lavarse las manos,,Handwashing,#VALUE!
Nabbagiid,Chocolate,"Marrón, , , , ",Chocolate,"Brown, , , ,"
Sabgasuwar,Lápiz,"Lapicero, , , , ",Pencil,"Pen, , , ,"
Sabgued,Amar,"Encariñarse, , , , ",to love,"Fond,,,,"
Saboged,Guardar,"Ahorrar, Conservar, Archivar, , ",save,"Save, Save, Save,"
Sabsursaed,Maltratar,"Dañar, Lastimar, , , ",Mistreat,"Damaging, Hurting,,,"
Sabured,Enagua,"Frazada, , , , ",petticoat,"Blankie,,,,"
Sadde,No hay,"Nada, Cero, , , ",There is not,"Nothing, Zero,"
Saddewar,Palo santo,,Lignum vitae,#VALUE!
Saddewala,Palo santo,,Lignum vitae,#VALUE!
Sader,Estómago,"Vientre, , , , ",Stomach,"Belly, , , ,"
Ansig,Hacia mi,"Del lado mio, , , , ",To me,"From my side,,"
Sagi,Estómago,"Vientre, , , , ",Stomach,"Belly, , , ,"
Sadued,Defecar,"Excretar, Deponer, , , ",Defecate,"Excrete, overthrow,,,"
Disnaed,Defecar,,Defecate,#VALUE!
Aggued,Defecar,,Defecate,#VALUE!
Sae,Ayer,,Yesterday,#VALUE!
Saed,Hacer,"Realizar, Ejecutar, , , ",Do,"Make, run,,,"
Imagged,Hacer,"Realizar, Ejecutar, , , ",Do,"Make, run,,,"
Saedagged,Odiar,"Repudiar, , , , ",Hate,"Repudiating,,,,"
Isdardagged,Odiar,"Repudiar, , , , ",Hate,"Repudiating,,,,"
Saeiddoged,Disgustarse,,Upset,#VALUE!
Ansiggi,Hacia mi,"Del lado mio, , , , ",To my,"From my side,,"
Sagbundor,Suegra,,Mother in law,#VALUE!
Saggabunadola,Suegra,,Mother in law,#VALUE!
Sagga,Suegro o suegra,,Father or mother,#VALUE!
Saggan,Ala,"Aleta, , , , ",To,"Fin,,,,"
Saggi,Red,"Malla, , , , ",Net,"Malla,,,,"
Saggileged,Machucarse,"Magullarse, Ser robado, , , ",Machucarse,"Bruising, stolen,,,"
Saggumagged,Masticar,"Mascar, , , , ",Chew,"Munching,,,,"
Saggwa,Brazo,,Arm,#VALUE!
Surgan,Brazo,,Arm,#VALUE!
Swida,Brazo,,Arm,#VALUE!
Ansu,Sirena,,Siren,#VALUE!
Sagi,Estómago,,Stomach,#VALUE!
Sagirburwa,Viento del noroeste,,Wind northwest,#VALUE!
Sagisuid,Glotón,"Insaciable, Hambriento, , , ",Glutton,"Insatiable, Hungry,,,"
Sagla,Guía religioso,"Autoridad de la comunidad, , , , ",Religious leader,"Authority of the community,,,,"
Sagladummad,Autoridad mayor comarcal,,Greater local authority,#VALUE!
Saglagia,Cabello,"Pelo, , , , ",Hair,"Hair, , , ,"
Saglar,Con toda la raíz,,With all the root,#VALUE!
Saglale,Con toda la raíz,,With all the root,#VALUE!
Saglabela,Con toda la raíz,,With all the root,#VALUE!
Saglasibu,Cana,"Pelo blanco, , , , ",Cane,"White hair, , , ,"
Anwar,Envuelto,"Refiere a medicamento o alimento, , , , ",Wrapped,"Refer to medicine or food,,,,"
Nonosibu,Cabello blanco,,White hair,#VALUE!
Sagmassered,Suegro,,Father in law,#VALUE!
Saggamassseredi,Suegro,,Father in law,#VALUE!
Sagu,Saco,"Bolsa, , , , ",Coat,"Bag, , , ,"
Salli,Martín Pescador,,Kingfisher,#VALUE!
Sallig,Llevar algo a la cadera,,Bring something to the hip,#VALUE!
Salliggine,Llevar algo a la cadera,,Bring something to the hip,#VALUE!
Salluleged,Magullarse,,Bruise,#VALUE!
Salu,Almeja del río,,Clam River,#VALUE!
Samor,Pañal,"Sabanilla, , , , ",Diaper,"Sabanilla,,,,"
Anwale,Envuelto,,Wrapped,#VALUE!
Samu,Comején,,Termite,#VALUE!
Samur,Intestino,"Entraña, Víscera, , , ",Intestine,"Entraña, Viscera,,"
Sana,Cuándo,,When,#VALUE!
Ingua,Cuándo,,When,#VALUE!
Sana,Carne,,Meat,#VALUE!
Sanargued,Demorar,"Apersonarse, Manifestarse, Aparecer, , ",Delay,"Apersonarse, Manifesting, Appear,"
Sangwa,Esposa," Mujer de, , , , ",Wife," Woman of, , , ,"
Ome,Esposa,"Mujer, , , , ",Wife,"Woman, , , ,"
Sargag,Variedad de Tucán,,Variety of toucan,#VALUE!
Saligagga,Variedad de Tucán,,Variety of toucan,#VALUE!
Anwed,Envolver,,Wrap,#VALUE!
Sargi,Bejuco,,Bejuco,#VALUE!
Sarsoged,Pegar,"Golpear, , , , ",Paste,"Hit, , , ,"
Sasir,Cintura,,Waist,#VALUE!
Saya,Ano,,Year,#VALUE!
Saataa,Ano,,Year,#VALUE!
Sayee,Insípido,,Tasteless,#VALUE!
Sayegwa,Insípido,"Desaborido, , , , ",Tasteless,"Bland,,,,"
Sedaged,Traer hacia uno,,Bring to one,#VALUE!
Seded,Cargar,"Transportar, , , , ",Load,"Transport,,"
Sedo,Tarde,"Por la tarde, , , , ",Late,"In the afternoon, , , ,"
Abanned,Olor,,Odor,#VALUE!
Arad,Azul,,blue,#VALUE!
Dadnade,Tarde,"Por la tarde, , , , ",Late,"In the afternoon, , , ,"
Sedogwen,Apenas anochecio,"Al oscurecer, , , , ",Just got dark,"In the dark,,,,"
See,Aleta,"De verbo semilla, , , , ",Fin,"Verb seed,,"
Seed,Llevar,"Cargar, Guiar, Gobernar, , ",Carry,"Load, guide, govern,"
Segar,Fósforo,"Cerilla, , , , ",Match,"Matchstick,,,,"
Seggar,Fósforo,,Match,#VALUE!
Sela,Marinero,"Navegante, , , , ",Sailor,"Navegante,,,,"
Selelleged,Fuerte,"Duro, Macizo, Sólido, , ",Strong,"Hard, Solid, Solid,"
Duddusulid,Fuerte,"Duro, Macizo, Sólido, , ",Strong,"Hard, Solid, Solid,"
Senigwa,De tamaño menor,"No tan pequeño, , , , ",Smaller size,"Not so small,,,,"
Aramagged,Avivarse el fuego,,Fire flare up,#VALUE!
Saisaale,De tamaño pequeño,"No tan pequeño, , , , ",Small size,"Not so small,,,,"
Yaigwa,De tamaño pequeño,,Small size,#VALUE!
Senya,Axila,"Sobaco, , , , ",Armpit,"Underarm,,,,"
Sered,Viejo,"Mayores, Antepasados, , , ",Old,"Seniors, Ancestors,,"
Sergan,Viejos,"Mayores, , , , ",Old,"Greater, , , ,"
Sergued,Paso de pubertad,,Step puberty,#VALUE!
Yaaleged,Paso de pubertad,,Step puberty,#VALUE!
Sese,Saltamontes,"Insecto, Grillo, , , ",Grasshopper,"Insect cricket,"
Siagwa,Cacao,,Cocoa,#VALUE!
Sia,Sobrina,"Cacao, , , , ",Niece,"Cocoa,,,,"
Arbaed,Trabajar,"Afanarse, Laborar, , , ",To work,"Striving, Laboring,,,"
Sianar,Brasero,"Recipiente de arcilla, , , ",Brazier,"Container clay,"
Sianala,Brasero de arcilla,,Clay brazier,#VALUE!
Sibad,Chivo,"Cabra, , , , ",Goat,"Goat, , , ,"
Sibbor,Rubia,"Mujer de color claro, , , , ",Blonde,"Light colored woman,,,,"
Sibbu,Rubio,"Varón de color claro, , , , ",blond,"Light-colored male,,,,"
Sibbugwad,Blanco,,White,#VALUE!
Sibbusuli,Oscuro,"Tosco, Negro, , , ",Dark,"Tosco, Black,,,"
Gorosuli,Oscuro,"Fosco, Negro, , , ",Dark,"Fosco, Black,,,"
Sibeb,Escarabajo,,Beetle,#VALUE!
Sidsi,Jagua,,Jagua,#VALUE!
Arbag,A escondidas,"A espaldas,  A hurtadillas, , , ",Secretly,"Behind, Stealthily,"
Sabdur,Jagua,,Jagua,#VALUE!
Sidsid,Negro,"Oscuro, Prieto, , , ",Black,"Dark, tight,"
Sidsir,Hormiga,,Ant,#VALUE!
Sied,Sentar a alguien,"Colocar, Poner, Colocar, , ",Lay someone,"Place, Put, Put,"
Siga,Vello,"Barba, Pelo, , , ",Hair,"Beard, hair,,,"
Absar,Vello,"barba, Pelo, , , ",Hair,"beard, hair,,,"
Absala,Vello,"Barba, Pelo, , , ",Hair,"Beard, hair,,,"
Sigabula,Pez barbudo,"Barbón, Barbudo, , , ",Bearded fish,"Bearded, bearded,,,"
Sigali,Cigarrillo,,Cigarette,#VALUE!
Siged,Sentarse,"Tomar asiento, Posarse, , , ",Sit down,"Sit, Perch,,,"
Arbagge,A escondidas,"A espaldas, , , , ",Secretly,"Behind,,,,"
Siggasigga,Picotear,"Picar, No dar en el blanco, , , ",Peck,"Chopping, Not to hit the target,,,"
Sigged,Cortar,"Seccionar, Trozar, Partir, , ",Cut,"Sectioning, Bucking, Splitting,"
Siggirmagged,Echarse atrás,"Retroceder, Retroceso, , , ",Back down,"Rewind, Rewind,,,"
Siggwas,Breve,"Poco, No mucho, , , ",Brief,"Little, not much,"
Siggwasobunnoged,Descanso breve ,"Signo de coma, , , , ",short break,"Comma sign,,,,"
Siggwi,Pájaro,"Ave, Secretario, Interprete, , ",Bird,"Ave, Secretary, Interpret,"
Siggwigolo,Canario,,Canary,#VALUE!
Siggwisis,Talingo,"Changamé, , , , ",Talingo,"Changamé,,,,"
Siggwisidsi,Talingo,,Talingo,#VALUE!
Ammaser,Talingo,,Talingo,#VALUE!
Arbaggegwa,A escondidas,"A espaldas, , , , ",Secretly,"Behind,,,,"
Ammasele,Talingo,,Talingo,#VALUE!
Sigli,Pavón,,bronzing,#VALUE!
Sigu,Flecha,"Dardo, , , , ",Arrow,"Dardo,,,,"
Sile,Canasta,"Cesto grande, , , , ",Basket,"Large basket,,"
Silisilid,Asma,,Asthma,#VALUE!
Gullugullud,Asma,,Asthma,#VALUE!
Sirsirid,Asma,,Asthma,#VALUE!
Simmur,Nudo,,Knot,#VALUE!
Simu,Ombligo,,Belly button,#VALUE!
Arbi,Estuvo,"Vino, , , , ",He was,"Wine, , , ,"
Sina,Puerco,"Cerdo, , , , ",Pig,"Pork, , , ,"
Sindua,Jamón,"Pierna de puerco, , , , ",Ham,"Pork leg,,"
Singalu,Porqueriza,"Chiquero, , , , ",Pigsty,"Pigsty,,,,"
Sinneg,Porqueriza,,Pigsty,#VALUE!
Singwallu,Grasa,"Matenca de puerco, , , , ",Grease,"Matenca pork,,,,"
Sinna,Pájaro Carpintero,,Woodpecker,#VALUE!
Sinnisinni,Arrugado,"Ajado, , , , ",Wrinkled,"I rumpled,,,,"
Babbibabbi,Arrugado,"Ajado, , , , ",Wrinkled,"I rumpled,,,,"
Dunnudunnu,Arrugado,"Ajado, , , , ",Wrinkled,"I rumpled,,,,"
Sisa,Bebida alcoholica,,Alcoholic beverage,#VALUE!
Sisgwa,Hija," Pasada periodo de pubertad, , , , ",Daughter," Last period of puberty,,,,"
Sobed,Construir,"Dibujar, Persona que prepara bebida fermentada de caña, , , ",Build,"Draw, Person preparing fermented cane juice,"
Sodso,Sobra,"Pedazo medio usado, , , , ",Surplus,"Half used piece,,"
Sodsogwale,Picado,"Raspado, Lacerado, , , ",Chopped,"Scraping, Lacerated,,"
Gwiligwili,Picado,"Raspado, , , , ",Chopped,"Scraped off, , , ,"
Sogag,Cocina,,Kitchen,#VALUE!
Sogannoged,Altizar el fuego,,Altizar fire,#VALUE!
Oaramagged,Atizar fuego,,Poking fire,#VALUE!
Soged,Decir,"Manifestar, Comunicar, Expresar, , ",Tell,"Express, communicate, express,"
Bied,Decir,"Pronunciar, , , , ",Tell,"To pronounce, , , ,"
Argaale,Abierto,,Open,#VALUE!
Soggu,Como es así," Como se dice eso, , , , ",As it is well," How do you say that, , , ,"
Segegua,Como es así,"Como se dice eso, , , , ",As it is well,"How do you say that, , , ,"
Sogun,Brasa,"Carbón, , , , ",hot coal,"Coal, , , ,"
Solaba,De último,,Last,#VALUE!
Solabali,De último,"Ultimo, , , , ",Last,"Latest, , , ,"
Solanabbi,De último,,Last,#VALUE!
Sole,Acido,"Agrio, , , , ",Acid,"Agrio,,,,"
Solerba,Muy ácido,,Very acid,#VALUE!
Solesolegwa,Ligeramente ácido,,Slightly acidic,#VALUE!
Somgued,Grosor,"Espesura, , , , ",Thickness,"Thickets,,,,"
Egaar,Abierto,,Open,#VALUE!
Sone,Anda,"Camina, Vamos, , , ",Anda,"Walks, Come,"
Soo,Fuego,"Fogón, , , , ",Fire,"Cooker,,,,"
Sor,Trasero,"Nalga, Glúteo, , , ",Rear,"Buttocks, gluteus,"
Sola,Trasero,"Nalga, , , , ",Rear,"Buttocks,,,,"
Sorba,Detrás,"Después de, Atrás, , , ",Behind,"After, Back,"
Solabali,Detrás,"Después de, Atrás, , , ",Behind,"After, Back,"
Sorgaed,Timonear,"Manejar, Conducir, , , ",timonear,"Driving, Driving,"
Sorgar,Pelvis,,Pelvis,#VALUE!
Sorgwagwa,Corto,"Muy corto, , , , ",Short,"Very short, , , ,"
Giale,"Corto,Muy corto",,"Short, very short",#VALUE!
Yabbanned,Olor,,Odor,#VALUE!
Egaale,Abierto,,Open,#VALUE!
Giaggwagwa,Corto,"Muy Corto, , , , ",Short,"Very short, , , ,"
Sorsig,Invertido,"Al revés, Inverso, , , ",Invested,"In the reverse, Inverso,,,"
Sorsiggi,Por el trasero,,On the back,#VALUE!
Sour,Barco,"Navío, Buque, , , ",Ship,"Ship, Ship,,,"
Soulu,Barco,"Navío, Buque, , , ",Ship,"Ship, Ship,,,"
Sourguggualed,Avión,"Aeroplano, Aeronave, , , ",Plane,"Airplane, aircraft,,,"
Guggualed,Avión,,Plane,#VALUE!
Suba,Saco,"Chaqueta, Gabán, , , ",Coat,"Jacket, Gaban,,,"
Subbe,Instrumento musical de bambú,,Bamboo musical instrument,#VALUE!
Sue,Arcoiris,,Arcoiris,#VALUE!
Argaed,Vigilar,"Rondar, Observar, Abrirse, , ",Look out,"Prowling, observe, open,,"
Sued,Escoger,"Seleccionar, Coger, , , ",Choose,"Select, catch,,,"
Suenamor,Bandera,"Estandarte, , , , ",flag,"Banner,,,,"
Suenamola,Bandera,"Estandarte, , , , ",flag,"Banner,,,,"
Bander,Bandera,,flag,#VALUE!
Suga,Cangrejo,,Crab,#VALUE!
Sugagli,Cangreso manglero,,Cangreso manglero,#VALUE!
Aglisug,Cangreso manglero,,Cangreso manglero,#VALUE!
Aglisuga,Cangrejo Manglero,,crab bellied,#VALUE!
Sugwedar,Cangreso manglero,,Cangreso manglero,#VALUE!
Suggammi,Jaiba,,Jaiba,#VALUE!
Argan,Mano,,Hand,#VALUE!
Niggibili,Jaiba,,Jaiba,#VALUE!
Sugge,Corriente fluvial,,current river,#VALUE!
Suggu,Pez espada,,Swordfish,#VALUE!
Suggun,Esquina,"Bahía, Ensenada, , , ",Corner,"Bay, Ensenada,,,"
Sugmurmurud,Centollo,,spider-crab,#VALUE!
Sugsugsaed,Chupar,"Sorber, , , , ",Suck,"Slurp,,,,"
sugswili,Cangrejo moro,,moro crab,#VALUE!
Sugued,Medida de longitud,,Measuring length,#VALUE!
Sugwedar,Cangreso manglero,,Cangreso manglero,#VALUE!
Argana,mano,,hand,#VALUE!
Sugweddar,Cangreso manglero,,Cangreso manglero,#VALUE!
Aglisug,Cangreso manglero,,Cangreso manglero,#VALUE!
Aglisuga,Cangrejo manglero,,crab manglero,#VALUE!
Sugagli,Cangrejo manglero,,crab manglero,#VALUE!
Sui,Marido,"Esposo, , , , ",Husband,"Husband,,,,"
Uga,Marido,"Esposo, , , , ",Husband,"Husband,,,,"
Suibagga,Largo,"Bastante largo, , , , ",Long,"Quite long, , , ,"
Suidbagga,Largo,"Bastante largo, , , , ",Long,"Quite long, , , ,"
Suiddonbo,Un dólar,,One dollar,#VALUE!
Suidi,Extenso,"Estirado, Muy largo, , , ",Extensive,"Snobby, very long,"
Arganmaddar,Dorso de la mano,,Back of the hand,#VALUE!
Mullusuli,No corto,,no short,#VALUE!
Suir,Perdiz de rastrojo,,Stubble Perdiz,#VALUE!
Suiraggwagiid,Morado,,Purple,#VALUE!
Guddurgwa,Morado,,Purple,#VALUE!
Sule,Conejo pintado,,Painted Rabbit,#VALUE!
Nabbanono,Conejo pintado,,Painted Rabbit,#VALUE!
Suli,No," No desear algo, , , , ",Do not," Not wanting something,,,,"
Yabba,No," No desear algo, , , , ",Do not," Not wanting something,,,,"
Sulu,Mono,"Primate, , , , ",Monkey,"Primate,,,,"
Sulubagibebeniggad,Aguila Harpía,,Harpy eagle,#VALUE!
Argannuggwen,Puñado,"Un puñado, , , , ",Handful,"A bunch, , , ,"
Sulubagi,Aguila,,Eagle,#VALUE!
Sunmagged,Hablar,"Expresar, Idioma, Oración, , ",Talk,"Express, Language, Prayer,"
Sunnasoged,Excelente,"Optimo, , , , ",Excellent,"Optimo,,,,"
Sunnasuli,Malo,"Dañado, Feo, , , ",Bad,"Damaged, Feo,,,"
Issaggwagwa,Malo,"Dañado, Feo, , , ",Bad,"Damaged, Feo,,,"
Sur,Racimo,,Cluster,#VALUE!
Suller,Racimo,,Cluster,#VALUE!
Sullele,Racimo,,Cluster,#VALUE!
Surgan,Brazo,,Arm,#VALUE!
Swida,Brazo,,Arm,#VALUE!
Argar,Costilla,"Interprete del canto de sagla, , , , ",Rib,"Singer of the song of sagla,,,,"
Saggwa,Brazo,,Arm,#VALUE!
Surnono,Cucharón,"Cacillo, Cazo, , , ",Ladle,"Dipper, dipper,,,"
Nogmur,Cucharón,"Cacillo, Cazo, , , ",Ladle,"Dipper, dipper,,,"
Nogsuid,Cucharón,,Ladle,#VALUE!
Sussua,Mariposa,"Polilla, Palomilla, , , ",Butterfly,"Moth, moth,,,"
Sussu,Mariposa,,Butterfly,#VALUE!
Mommor,Mariposa,,Butterfly,#VALUE!
Susu,Hermanito dicho por una mujer,,Brother said by a woman,#VALUE!
Suu,Gorgojo,"Comején, , , , ",Weevil,"Comején,,,,"
Argala,Costilla,"Interprete del canto del sagla, , , , ",Rib,"Singer of the song of the sagla,,,,"
Suugwa,Mareado,aturdido,Dizzy,stunned
Suusuu,Mareado,"Ebrio, , , , ",Dizzy,"Drunk,,,,"
Suurmagged,Derramar ,"Sudar, Derramar sudor, , , ",To spill,"Sweat, sweat Spilling,,,"
Suwar,Palo,,Stick,#VALUE!
Suwarbadde,Vasija de madera,,Wooden vessel,#VALUE!
Baddesuwar,Vasija de de madera,,Wooden vessel,#VALUE!
Suwaribed,Custodio y guardián de la comunidad,,Custodian and guardian of the community,#VALUE!
Swanswan,Resbaloso,,Resbaloso,#VALUE!
Gwaregware,Resbaloso,,Resbaloso,#VALUE!
Masimasi,Resbaloso,,Resbaloso,#VALUE!
Ari,Iguana ,,iguana,#VALUE!
Swara,Instrumento musical hecho de bambú,,musical instrument made of bamboo,#VALUE!
Surgued,Perderse,"Morir, Fallecer, , , ",Be lost,"Die, perish,,,"
Swiddi,Guanábana,,Soursop,#VALUE!
Swilidig,Recto,"Sin defecto, Limpio, , , ",Straight,"Unblemished, Clean,,,"
Swilidiggi,Recto,"Sin defecto, Limpio, , , ",Straight,"Unblemished, Clean,,,"
U,Nido ,"Nido, , , , ",Nest,"Nest,,,,"
Uu,Nido,,Nest,#VALUE!
Ua,Pez,"Pescado, , , , ",Fish,"Fish, , , ,"
Uadug,Oreja,,Ear,#VALUE!
Uaduggu,Oreja,,Ear,#VALUE!
Uagarba,Nasa,,Pot,#VALUE!
Arinii,Febrero,,February,#VALUE!
Uagi,Delfín,,Dolphin,#VALUE!
Uas,Techo,"Paja que cubre la casa, , , , ",The ceiling,"Covering straw house,,,,"
Uasaggan,Aleta de pez,,Fish fin,#VALUE!
See,Aleta,,Fin,#VALUE!
Uaya,Oído,,Ear,#VALUE!
Cuñado,Dicho entre varones,,Said between men,#VALUE!
Uba,Cuñado,,Brother in law,#VALUE!
Ubed,Alero frontal o trasero de la casa,,Alero front or rear of the house,#VALUE!
Ubebe,Alero frontal de la casa,,Alero front of the house,#VALUE!
Ubi,Harina de maíz tostado,,Toasted corn flour,#VALUE!
Abbarmagged,Correr,,Run,#VALUE!
Aroged,Derramarse,,Spill,#VALUE!
Ubimagged,Moler,"Pulverizar, , , , ",Grind,"Grind up, , , ,"
Naged,Moler,,Grind,#VALUE!
Ubiubi,En polvo,"Pulverizado, Molido, , , ",Powdered,"Powdered, Milled,,"
Uboged,Ingresar,"Entrar, , , , ",Enterokay,"Get in, , , ,"
Ubsan,Algodón,,Cotton,#VALUE!
Uda,Dame,Del verbo dar,Give to me,Of the verb give
Udage,Dame,Del verbo dar,Give to me,Of the verb give
udded ,Agujerear," hacer hoyo, , , , ",Pierce," make pit,,,,"
Udged,Perforar,,Punch out,#VALUE!
Arioged,Derrarse,,Derrarse,#VALUE!
Udu,Moho," Hongo, , , , ",Mold," Fungus, , , ,"
Udurun,Tronco viejo y podrido ,,Old and rotten trunk,#VALUE!
Ued,Oler,"Olfatear, Fumar, Calentura, , ",Smell,"Sniff, Smoking, Calentura,"
Uegwa,Tibio,"Cálido, No tan caliente, , , ",Warm,"Warm, not so hot,,,"
Ueued,Tibio,"Cálido, , , , ",Warm,"I warm,,,,"
Ueleged,Enfermarse,,To get sick,#VALUE!
Gegued,Enfermarse ,,To get sick,#VALUE!
Uereged,Ardiente,"Caliente, , , , ",Burning,"Hot, , , ,"
Diobbisulid,Ardiente,"Caliente, , , , ",Burning,"Hot, , , ,"
Diyobbisulid,Ardiente,"Caliente, , , , ",Burning,"Hot, , , ,"
Arsan,Escalera,"Escalinata, , , , ",Stairs,"Escalinata,,,,"
Uegwa,Cálido,"No tan caliente, , , , ",Warm,"Not so hot,,,,"
Uga,Marido,"Esposo, , , , ",Husband,"Husband,,,,"
Sui,Marido,"Esposo, , , , ",Husband,"Husband,,,,"
Ugargwag,Huevo de iguana,,Iguana egg,#VALUE!
Ugarggwagwa,Huevo de iguana,,Iguana egg,#VALUE!
Ugga,Piel,"Cáscara, , , , ",Skin,"Shell,,,,"
Picazón,Sarpullido,,Rash,#VALUE!
Aimagged,Picazón,"Comezón, , , , ",Itch,"Itchiness,,,,"
Uggabbale,Con cáscara,,With Shell,#VALUE!
Uggabela,Con cáscara,,With Shell,#VALUE!
Arwed,Romperse las olas,,Breaking waves,#VALUE!
Uggaelied,Toalla,"Paño, , , , ",Towel,"Cloth, , , ,"
Uggamullu,Grano,"Absceso, , , , ",Grain,"Abscess,,,,"
Uggaswan,Desnudo,,Naked,#VALUE!
Uggaswiri,Desnudo,,Naked,#VALUE!
Ugged,Dar,"Ceder,Entregar, Vender, , , ",Give,"Ceder, Deliver Selling,"
Uggiasgin,Encima,"Sobre, , , , ",Over,"On, , , ,"
Asgine,Encima,"Sobre, , , , ",Over,"On, , , ,"
Birgi,Encima,"Sobre, , , , ",Over,"On, , , ,"
Uggiar,De repente,"Repentino, , , , ",Suddenly,"Suddenness,,,,"
Uggiale,De repente,"Repentino, , , , ",Suddenly,"Suddenness,,,,"
As,Yerno,,Son in law,#VALUE!
Uggiarmaggar,Repentino,,Sudden,#VALUE!
Uggub,Arena,,Sand,#VALUE!
Uggubbiid,Arenoso,,Sandy,#VALUE!
Uggubdug,Pez lenguado,,Sole fish,#VALUE!
Uggubdugu,Pez lenguado,,Sole fish,#VALUE!
Uggubua,Pez lenguado,,Sole fish,#VALUE!
Uggubir,Playa,"Costa, , , , ",Beach,"Costa,,"
Uggubbir,Playa,"Costa, , , , ",Beach,"Costa,,"
Uggubmileged,Huevo de tortuga,,Turtle egg,#VALUE!
Uggubsan,Huevo de tortuga,,Turtle egg,#VALUE!
Sabbin,Yerno,,Son in law,#VALUE!
Uggud,Hambre,"Apetito, , , , ",Hungry,"Appetite,,,,"
Uggugwa,Liviano,"Leve, Bajo de peso, , , ",Lightweight,"Mild, Underweight,,,"
Uggunagbe,Serpiente cascabel,,Rattlesnake,#VALUE!
Uggurwala,Balsa,,Raft,#VALUE!
Uggusuli,Pesado,"Sólido, , , , ",Heavy,"I solid,,,,"
Agdiggi,Pesado,"Sólido, , , , ",Heavy,"I solid,,,,"
Agdiggirba,Pesado,,Heavy,#VALUE!
Ugguuggud,Sed,,Thirst,#VALUE!
Ugguugguiddoged,Estar sediento,,be thirsty,#VALUE!
Ugsi,Armadillo,,Armadillo,#VALUE!
Asabin,De frente,"Frente a frente, , , , ",Head on,"Facing, , , ,"
Ugsir,Murciélago,,Bat,#VALUE!
Ular,Manzanillo,,Manzanillo,#VALUE!
Ulassui,Piragua,,Canoe,#VALUE!
Uluasusuido,Pragua,,Pragua,#VALUE!
Ulasu,Proa,,Bow,#VALUE!
Ulu,Cayuco,,Cayuco,#VALUE!
Ulugwa,Baúl,"Maleta, Cajón, , , ",Trunk,"Suitcase, Drawer,,,"
Ulur,Mono aullador,,howler monkey,#VALUE!
Uma,Mono colorado,Especie de primate ,Red bow,Primate species
Umamagged,Ardor,"Picor, , , , ",Burning,"Itchiness,,,,"
Asabbin,De frente,,Head on,#VALUE!
Aurmagged,Ardor,"Picor, , , , ",Burning,"Itchiness,,,,"
Unaed,Aconsejar,"Orientar, , , , ",Advise,"Guide, , , ,"
